,year,month,건강/취미,경제경영,고전,과학,달력/기타,대학교재/전문서적,만화,사회과학,소설/시/희곡,수험서/자격증,어린이,에세이,여행,역사,예술/대중문화,외국어,요리/살림,유아,인문학,자기계발,잡지,전집/중고전집,종교/역학,좋은부모,참고서,청소년,컴퓨터/모바일,해외잡지
101,2018,6,266.87179487179486,359.8059701492537,233.0,482.30555555555554,1.0,224.0,245.52036199095022,382.275,341.06368330464716,345.008,220.0,279.2708333333333,324.0,435.6111111111111,249.06666666666666,425.48979591836735,212.1818181818182,28.0,351.70588235294116,294.06976744186045,104.0,92.0,294.875,345.03225806451616,727.8,220.4,623.3846153846154,62.0
102,2018,7,288.06666666666666,374.81632653061223,233.0,481.79545454545456,1.0,224.0,225.49468085106383,361.37704918032784,360.24590163934425,467.89861751152074,220.0,270.4065934065934,148.0,441.72222222222223,326.2,453.032967032967,204.13793103448276,28.0,353.512987012987,278.8888888888889,104.0,92.0,367.2,340.1875,598.0,234.0,589.5111111111111,62.0
103,2018,8,306.7096774193548,368.3529411764706,233.0,505.74418604651163,1.0,669.5,320.541935483871,339.0,373.189453125,515.2975609756097,220.0,276.2282608695652,228.0,390.5925925925926,260.3,446.9325153374233,192.88888888888889,28.0,345.23837209302326,273.92134831460675,104.0,92.0,244.5,311.1,534.375,237.84615384615384,545.3559322033898,62.0
104,2018,9,274.0,365.60869565217394,233.0,476.19444444444446,1.0,641.8333333333334,222.8298969072165,308.94202898550725,375.1536748329621,560.2519685039371,220.0,286.02366863905326,226.0,410.0952380952381,240.90697674418604,467.5769230769231,256.0,28.0,364.8614457831325,276.037037037037,104.0,92.0,275.0,319.42857142857144,354.0,254.5,541.1692307692308,62.0
105,2018,10,306.1818181818182,351.0769230769231,233.0,472.4634146341463,1.0,641.8333333333334,221.32417582417582,284.44262295081967,351.1912681912682,518.990625,220.0,294.2528735632184,248.92307692307693,406.03333333333336,294.06451612903226,457.23655913978496,241.76315789473685,28.0,368.6470588235294,290.6941176470588,104.0,92.0,206.66666666666666,319.85714285714283,287.2,276.8333333333333,304.3809523809524,62.0
106,2018,11,280.5217391304348,346.9425287356322,233.0,485.4255319148936,1.0,948.0,256.0061728395062,268.4583333333333,348.72972972972974,493.16806722689074,220.0,283.59375,361.0,430.0,353.31481481481484,464.03846153846155,242.15,28.0,360.2923076923077,303.6170212765957,104.0,47.0,122.76923076923077,312.3255813953488,343.6,282.5,435.2857142857143,62.0
107,2018,12,297.36842105263156,348.7113402061856,233.0,468.13461538461536,26.0,763.5555555555555,203.4,313.12048192771084,354.21311475409834,485.0469483568075,220.0,278.3977900552486,570.0,465.6842105263158,247.30612244897958,455.75816993464053,308.6,28.0,390.7692307692308,302.0,104.0,47.0,222.125,326.75,320.0,313.3,573.8333333333334,62.0
108,2019,1,363.7142857142857,323.64220183486236,233.0,441.04411764705884,26.0,763.5555555555555,240.748031496063,334.96610169491527,356.3226666666667,452.19018404907973,220.0,305.503937007874,570.0,409.0,276.1904761904762,448.13615023474176,293.4375,28.0,391.9946524064171,311.6373626373626,104.0,47.0,222.125,317.1764705882353,587.6923076923077,305.42857142857144,599.2903225806451,62.0
109,2019,2,322.8666666666667,343.6868686868687,233.0,482.864406779661,26.0,769.8333333333334,231.82993197278913,311.01408450704224,347.7309644670051,418.85,220.0,308.6764705882353,254.0,490.3333333333333,287.3783783783784,447.43859649122805,229.0,28.0,408.0585106382979,306.98979591836735,104.0,47.0,232.0,343.2916666666667,548.3333333333334,221.84615384615384,601.9428571428572,62.0
110,2019,3,312.1578947368421,352.8659793814433,233.0,471.14,26.0,700.3232323232323,230.8012048192771,324.01666666666665,328.0455764075067,401.25531914893617,220.0,326.6029411764706,234.0,445.7567567567568,223.64864864864865,441.28205128205127,237.82608695652175,28.0,375.7365269461078,302.70652173913044,104.0,47.0,173.71428571428572,313.5,423.3333333333333,228.36363636363637,630.9230769230769,62.0
111,2019,4,312.2173913043478,363.75652173913045,233.0,421.2739726027397,26.0,361.23809523809524,271.84466019417476,389.4102564102564,350.78552971576227,350.4043321299639,220.0,306.9006211180124,359.42857142857144,407.5,214.61764705882354,462.136,251.8235294117647,28.0,355.8611111111111,293.8229166666667,104.0,47.0,171.6,295.7,252.0,336.85714285714283,572.4761904761905,62.0
112,2019,5,255.35714285714286,348.74603174603175,233.0,495.90384615384613,26.0,492.0,279.295154185022,453.36206896551727,363.5805555555556,316.1764705882353,220.0,285.57575757575756,364.0,376.0,297.7931034482759,454.99122807017545,247.42105263157896,28.0,369.92134831460675,306.23333333333335,104.0,47.0,359.7142857142857,307.609756097561,370.0,221.125,706.5454545454545,62.0
113,2019,6,241.72972972972974,372.6637168141593,233.0,452.75,26.0,492.0,242.17254901960786,388.5238095238095,382.40664961636827,370.57575757575756,220.0,274.98039215686276,338.4,405.6363636363636,333.0,443.5827814569536,226.1081081081081,28.0,361.6287878787879,292.9894736842105,104.0,47.0,300.3125,319.5833333333333,368.8,248.88888888888889,590.05,62.0
114,2019,7,266.2105263157895,389.19767441860466,233.0,488.6,26.0,492.0,262.63440860215053,344.7169811320755,380.06161137440756,458.1347826086957,220.0,283.11442786069654,366.0,375.8636363636364,338.40816326530614,444.7142857142857,191.33333333333334,28.0,383.46456692913387,288.59183673469386,104.0,47.0,327.2,324.72340425531917,311.0,264.77777777777777,512.6037735849056,62.0
115,2019,8,318.5882352941176,373.08474576271186,860.0,491.9811320754717,26.0,639.0,224.98529411764707,293.4810126582278,390.27848101265823,488.49038461538464,220.0,277.53694581280786,308.0,494.3181818181818,305.60526315789474,440.77070063694265,264.72727272727275,28.0,408.94674556213016,302.1639344262295,104.0,47.0,318.57142857142856,319.35,726.8181818181819,277.62068965517244,680.6829268292682,62.0
116,2019,9,316.4102564102564,366.5777777777778,860.0,489.94545454545454,26.0,696.6666666666666,215.59036144578315,305.72131147540983,377.60731707317075,527.7095588235294,220.0,283.8229166666667,308.0,454.375,412.63157894736844,451.6462585034014,284.22222222222223,28.0,397.51176470588234,320.92753623188406,104.0,47.0,335.27272727272725,311.6923076923077,766.8571428571429,219.94285714285715,679.0909090909091,62.0
117,2019,10,272.77272727272725,361.8659793814433,860.0,475.98214285714283,26.0,520.0,217.9047619047619,271.51724137931035,365.9664694280079,533.3708333333333,220.0,306.4022346368715,308.0,404.734693877551,480.7083333333333,425.3302752293578,282.53846153846155,28.0,382.75155279503105,315.72222222222223,104.0,47.0,368.85714285714283,296.2857142857143,292.0,220.8780487804878,428.3636363636364,62.0
